Target URL,Grafana Version,CVE ID,Severity,Description,Message,Test URL,Timestamp
https://www.lookfantastic.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:12:34.249920
https://www.myprotein.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:12:54.338657
https://www.myvitamins.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:13:13.893546
https://www.arrowfilms.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:13:32.495301
https://www.mankind.co.uk,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:13:52.836263
https://www.illamasqua.com,,CVE-2021-39226,MEDIUM,Snapshot Enumeration,Snapshot enumeration confirmed - 1/50 test IDs accessible. Sample accessible IDs: [1],https://www.illamasqua.com/api/snapshots/shared/50,2026-05-19T04:14:10.723817
https://www.matalan.co.uk,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:14:34.904582
https://www.enjoyselfish.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:14:55.595469
https://chrome.google.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:15:21.338937
https://content-server.ibotta.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:16:06.576445
https://api.ibotta.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:16:09.949836
https://api.ibops.net,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:17:42.056884
https://api.int.ibops.net,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:17:45.357923
https://ibotta.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:18:48.572274
https://backend.ibotta.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:19:47.607496
https://www.ifood.com.br,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:21:11.995869
https://marketplace.ifood.com.br,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:21:14.152538
https://gestordepedidos.ifood.com.br,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:21:16.092831
https://wsloja.ifood.com.br,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:21:18.285973
https://shop.ifood.com.br,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:21:20.333552
https://static-images.ifood.com.br,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:21:22.407498
https://developer.ifood.com.br,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:21:24.664940
https://api.fstr.rocks,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:23:21.560197
https://rc.fstr.rocks,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:23:24.855540
https://www.zoop.com.br,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:23:27.895406
https://www.zoop.ws,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:23:31.040737
https://www.minhaconta.zoop.com.br,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:23:32.178887
https://dash.zoop.com.br,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:23:35.263154
https://contadigital.ifoodpago.com.br,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:23:38.781731
https://portal.ifoodpago.com.br,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:23:41.138719
https://www.cloudvector.com,,CVE-2025-4123,CRITICAL,Path Traversal & Open Redirect,Open redirect to external domain: www.imperva.com | Open redirect to external domain: www.imperva.com | Open redirect via login redirect parameter,https://www.cloudvector.com//api/snapshots,2026-05-19T04:23:43.256652
https://supportportal.thalesgroup.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:30:25.184925
https://indeed.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:31:55.286521
https://apis.indeed.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:31:57.352723
https://resume.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:31:59.319650
https://wowjobs.ca,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:32:01.332165
